                                                                              List of relations
 Schema |               Name                | Type  |  Owner   | Persistence | Access method |    Size    |                            Description                            
--------+-----------------------------------+-------+----------+-------------+---------------+------------+-------------------------------------------------------------------
 public | ab_test_assignments               | table | postgres | permanent   | heap          | 0 bytes    | 
 public | ab_test_events                    | table | postgres | permanent   | heap          | 8192 bytes | 
 public | ab_test_variants                  | table | postgres | permanent   | heap          | 8192 bytes | 
 public | ab_tests                          | table | postgres | permanent   | heap          | 8192 bytes | Sistema de testes A/B para otimização
 public | abandoned_carts                   | table | postgres | permanent   | heap          | 0 bytes    | 
 public | addresses                         | table | postgres | permanent   | heap          | 16 kB      | 
 public | audit_logs                        | table | postgres | permanent   | heap          | 8192 bytes | Sistema de auditoria completo para rastreamento de todas as ações
 public | banners                           | table | postgres | permanent   | heap          | 16 kB      | 
 public | brands                            | table | postgres | permanent   | heap          | 16 kB      | 
 public | campaign_analytics                | table | postgres | permanent   | heap          | 8192 bytes | 
 public | campaign_recipients               | table | postgres | permanent   | heap          | 8192 bytes | 
 public | cart_items                        | table | postgres | permanent   | heap          | 0 bytes    | 
 public | carts                             | table | postgres | permanent   | heap          | 0 bytes    | 
 public | categories                        | table | postgres | permanent   | heap          | 16 kB      | 
 public | chat_conversations                | table | postgres | permanent   | heap          | 16 kB      | 
 public | chat_message_reads                | table | postgres | permanent   | heap          | 8192 bytes | 
 public | chat_messages                     | table | postgres | permanent   | heap          | 16 kB      | 
 public | chat_presence                     | table | postgres | permanent   | heap          | 16 kB      | 
 public | chat_settings                     | table | postgres | permanent   | heap          | 16 kB      | 
 public | consent_records                   | table | postgres | permanent   | heap          | 8192 bytes | 
 public | coupon_categories                 | table | postgres | permanent   | heap          | 0 bytes    | 
 public | coupon_conditions                 | table | postgres | permanent   | heap          | 8192 bytes | 
 public | coupon_products                   | table | postgres | permanent   | heap          | 0 bytes    | 
 public | coupon_usage                      | table | postgres | permanent   | heap          | 0 bytes    | 
 public | coupons                           | table | postgres | permanent   | heap          | 16 kB      | 
 public | data_processing_activities        | table | postgres | permanent   | heap          | 16 kB      | 
 public | email_queue                       | table | postgres | permanent   | heap          | 16 kB      | 
 public | facet_cache                       | table | postgres | permanent   | heap          | 16 kB      | 
 public | faq                               | table | postgres | permanent   | heap          | 16 kB      | 
 public | faqs                              | table | postgres | permanent   | heap          | 16 kB      | 
 public | gdpr_requests                     | table | postgres | permanent   | heap          | 8192 bytes | Sistema de conformidade LGPD/GDPR
 public | gift_contributions                | table | postgres | permanent   | heap          | 8192 bytes | 
 public | gift_list_analytics               | table | postgres | permanent   | heap          | 8192 bytes | 
 public | gift_list_comments                | table | postgres | permanent   | heap          | 8192 bytes | 
 public | gift_list_favorites               | table | postgres | permanent   | heap          | 0 bytes    | 
 public | gift_list_invites                 | table | postgres | permanent   | heap          | 8192 bytes | 
 public | gift_list_items                   | table | postgres | permanent   | heap          | 8192 bytes | 
 public | gift_list_templates               | table | postgres | permanent   | heap          | 16 kB      | 
 public | gift_lists                        | table | postgres | permanent   | heap          | 8192 bytes | 
 public | integration_environments          | table | postgres | permanent   | heap          | 16 kB      | 
 public | integration_logs                  | table | postgres | permanent   | heap          | 16 kB      | 
 public | integration_metrics               | table | postgres | permanent   | heap          | 8192 bytes | 
 public | integration_provider_environments | table | postgres | permanent   | heap          | 8192 bytes | 
 public | integration_providers             | table | postgres | permanent   | heap          | 16 kB      | 
 public | integration_retry_queue           | table | postgres | permanent   | heap          | 16 kB      | 
